AC,CL,DE,GA,ID,ML,NE,TP
PF11657.7,,Transcriptional activator TraM ,23.10; 23.10;,Activator-TraM,142,,Family
PF11498.7,,Transcriptional activator LAG-3,23.30; 23.30;,Activator_LAG-3,468,,Family
PF01064.22,CL0117,Activin types I and II receptor domain,20.90; 20.90;,Activin_recp,86,,Domain
PF16840.4,,Actin-like protein 7A N-terminus,27.00; 27.00;,ACTL7A_N,65,,Domain
PF10000.8,CL0070,ACT domain,25.00; 25.00;,ACT_3,70,,Domain
PF13291.5,CL0070,ACT domain,27.00; 27.00;,ACT_4,80,,Domain
PF13710.5,CL0070,ACT domain,27.00; 27.00;,ACT_5,62,,Domain
PF13740.5,CL0070,ACT domain,23.00; 23.00;,ACT_6,76,,Domain
PF13840.5,CL0070,ACT domain ,27.00; 27.00;,ACT_7,65,,Domain
PF01643.16,CL0050,Acyl-ACP thioesterase,20.30; 20.30;,Acyl-ACP_TE,245,,Family
PF00441.23,CL0087,"Acyl-CoA dehydrogenase, C-terminal domain",20.50; 20.50;,Acyl-CoA_dh_1,150,,Domain
PF08028.10,CL0087,"Acyl-CoA dehydrogenase, C-terminal domain",22.00; 22.00;,Acyl-CoA_dh_2,134,,Domain
PF12806.6,,Acetyl-CoA dehydrogenase C-terminal like,30.30; 30.30;,Acyl-CoA_dh_C,124,,Domain
PF02770.18,,"Acyl-CoA dehydrogenase, middle domain",33.30; 33.30;,Acyl-CoA_dh_M,97,,Domain
PF02771.15,CL0544,"Acyl-CoA dehydrogenase, N-terminal domain",21.20; 21.20;,Acyl-CoA_dh_N,113,,Domain
PF14749.5,CL0544,Acyl-coenzyme A oxidase N-terminal,25.00; 25.00;,Acyl-CoA_ox_N,125,,Domain
PF12590.7,,Acyl-ATP thioesterase,22.00; 22.00;,Acyl-thio_N,131,,Family
PF12186.7,,Acyl-CoA dehydrogenase C terminal,19.80; 19.80;,AcylCoA_dehyd_C,111,,Domain
PF12418.7,,Acyl-CoA dehydrogenase N terminal ,21.20; 21.20;,AcylCoA_DH_N,32,,Family
PF00708.17,CL0622,Acylphosphatase,22.50; 22.50;,Acylphosphatase,85,,Domain
PF01553.20,CL0228,Acyltransferase,21.10; 21.10;,Acyltransferase,134,,Family
PF16076.4,,Acyltransferase C-terminus,26.50; 26.50;,Acyltransf_C,75,,Family
PF02551.14,CL0050,Acyl-CoA thioesterase,20.70; 20.70;,Acyl_CoA_thio,132,,Domain
PF00698.20,CL0323,Acyl transferase domain,32.70; 32.70;,Acyl_transf_1,319,,Domain
PF02273.14,CL0028,Acyl transferase,20.30; 20.30;,Acyl_transf_2,294,,Domain
PF01757.21,CL0316,Acyltransferase family,31.00; 31.00;,Acyl_transf_3,340,Ank,Family
PF16214.4,,Adenylyl cyclase N-terminal extracellular and transmembrane region,30.90; 30.90;,AC_N,415,,Family
PF09793.8,,Anticodon-binding domain,23.40; 23.40;,AD,89,,Domain
PF10198.8,,Histone acetyltransferases subunit 3,24.50; 24.50;,Ada3,131,,Family
PF16698.4,,"Membrane-proximal domain, switch, for ADAM17",26.20; 26.20;,ADAM17_MPD,62,,Domain
PF08516.11,,ADAM cysteine-rich,23.10; 23.10;,ADAM_CR,117,,Family
PF05986.13,,ADAM-TS Spacer 1,20.80; 20.80;,ADAM_spacer1,114,,Family
PF10199.8,,Alpha and gamma adaptin binding protein p34,32.00; 32.00;,Adaptin_binding,121,,Family
PF01602.19,CL0020,Adaptin N terminal region,37.00; 37.00;,Adaptin_N,524,,Family
PF00928.20,CL0448,Adaptor complexes medium subunit family,31.60; 31.60;,Adap_comp_sub,264,,Family
PF02805.15,,Metal binding domain of Ada,20.90; 20.90;,Ada_Zn_binding,65,,Family
PF06314.10,CL0403,Acetoacetate decarboxylase (ADC),29.80; 29.80;,ADC,236,,Family
PF13382.5,,Adenine deaminase C-terminal domain,27.00; 27.00;,Adenine_deam_C,169,,Family
PF03352.12,,Methyladenine glycosylase,25.00; 25.00;,Adenine_glyco,177,,Family
PF04008.13,,Adenosine specific kinase,25.00; 25.00;,Adenosine_kin,154,,Family
PF02438.15,,Late 100kD protein,25.00; 25.00;,Adeno_100,593,,Family
PF03052.14,,Adenoviral protein L1 52/55-kDa,25.00; 25.00;,Adeno_52K,201,,Family
PF02703.13,,Early E1A protein,24.90; 24.90;,Adeno_E1A,289,,Family
PF01691.15,,Adenovirus E1B 19K protein / small t-antigen,25.00; 25.00;,Adeno_E1B_19K,135,,Family
PF01696.16,CL0268,Adenovirus EB1 55K protein / large t-antigen,22.00; 22.00;,Adeno_E1B_55K,387,,Family
PF04623.11,,Adenovirus E1B protein N-terminus,25.00; 25.00;,Adeno_E1B_55K_N,71,,Family
PF06040.10,,Adenovirus E3 protein,25.00; 25.00;,Adeno_E3,127,,Family
PF05248.11,,Adenovirus E3A,25.20; 25.20;,Adeno_E3A,104,,Family
PF03376.13,,Adenovirus E3B protein,25.00; 25.00;,Adeno_E3B,67,,Family
PF04834.11,,Early E3 14.5 kDa protein,23.60; 23.60;,Adeno_E3_14_5,100,,Family
PF03307.13,,Adenovirus 15.3kD protein in E3 region,25.00; 25.00;,Adeno_E3_15_3,117,,Family
PF02440.14,CL0011,Adenovirus E3 region protein CR1,26.00; 26.00;,Adeno_E3_CR1,95,,Domain
PF02439.14,,Adenovirus E3 region protein CR2,26.20; 26.20;,Adeno_E3_CR2,38,,Family
PF05385.10,,Mastadenovirus early E4 13 kDa protein,25.00; 25.00;,Adeno_E4,108,,Family
PF04528.12,,Adenovirus early E4 34 kDa protein conserved region,25.00; 25.00;,Adeno_E4_34,145,,Family
PF06931.10,,Mastadenovirus E4 ORF3 protein,25.00; 25.00;,Adeno_E4_ORF3,113,,Family
PF04881.12,,Adenovirus GP19K,20.50; 20.50;,Adeno_GP19K,132,,Family
PF01065.18,CL0611,"Hexon, adenovirus major coat protein, N-terminal domain",18.60; 18.60;,Adeno_hexon,493,,Domain
PF03678.13,,"Hexon, adenovirus major coat protein, C-terminal domain",21.40; 21.40;,Adeno_hexon_C,241,,Domain
PF02456.14,CL0023,Adenovirus IVa2 protein,20.10; 20.10;,Adeno_IVa2,370,,Domain
PF00541.16,CL0326,Adenoviral fibre protein (knob domain),25.00; 25.00;,Adeno_knob,178,,Domain
PF01686.16,,Adenovirus penton base protein,25.00; 25.00;,Adeno_Penton_B,461,,Family
PF03955.13,,Adenovirus hexon-associated protein (IX),21.80; 21.80;,Adeno_PIX,110,,Family
PF03910.12,,Adenovirus minor core protein PV,23.30; 23.30;,Adeno_PV,355,,Family
PF01310.17,,"Adenovirus hexon associated protein, protein VIII",25.00; 25.00;,Adeno_PVIII,216,,Family
PF05829.11,,Adenovirus late L2 mu core protein (Protein X),25.00; 25.00;,Adeno_PX,42,,Family
PF00608.16,,Adenoviral fibre protein (repeat/shaft region),31.50; 3.50;,Adeno_shaft,34,,Repeat
PF02459.14,,Adenoviral DNA terminal protein,20.60; 20.60;,Adeno_terminal,557,,Family
PF03228.13,,Adenoviral core protein VII,21.20; 21.20;,Adeno_VII,122,,Family
PF16579.4,CL0573,Adenylate sensor of SNF1-like protein kinase,27.10; 27.10;,AdenylateSensor,117,,Domain
PF01295.17,,"Adenylate cyclase, class-I",21.80; 21.80;,Adenylate_cycl,601,,Family
PF00709.20,CL0023,Adenylosuccinate synthetase,19.90; 19.90;,Adenylsucc_synt,419,,Domain
PF12633.6,CL0260,Adenylate cyclase NT domain,21.60; 21.60;,Adenyl_cycl_N,199,,Domain
PF04439.11,CL0260,Streptomycin adenylyltransferase,20.60; 20.60;,Adenyl_transf,279,,Family
PF16812.4,,C-terminal head domain of the fowl adenovirus type 1 long fibre,27.00; 27.00;,AdHead_fibreRBD,201,,Domain
PF09085.9,CL0011,"Adhesion molecule, immunoglobulin-like",25.00; 25.00;,Adhes-Ig_like,110,,Domain
PF04619.11,CL0204,Dr-family adhesin,20.60; 20.60;,Adhesin_Dr,139,,Family
PF16747.4,,Surface-adhesin protein E,27.00; 27.00;,Adhesin_E,125,,Domain
PF03257.12,,Mycoplasma adhesin P1,25.00; 25.00;,Adhesin_P1,91,,Family
PF08240.11,CL0296,Alcohol dehydrogenase GroES-like domain,21.00; 21.00;,ADH_N,109,,Domain
PF16884.4,CL0296,N-terminal domain of oxidoreductase,31.00; 31.00;,ADH_N_2,108,,Family
PF13823.5,,Alcohol dehydrogenase GroES-associated,25.00; 25.00;,ADH_N_assoc,23,,Domain
PF00106.24,CL0063,short chain dehydrogenase,26.60; 25.00;,adh_short,195,,Domain
PF13561.5,CL0063,Enoyl-(Acyl carrier protein) reductase,27.00; 27.00;,adh_short_C2,234,,Domain
PF00107.25,CL0063,Zinc-binding dehydrogenase,30.20; 30.20;,ADH_zinc_N,130,,Family
PF13602.5,CL0063,Zinc-binding dehydrogenase,27.00; 27.00;,ADH_zinc_N_2,134,,Domain
PF11559.7,,Afadin- and alpha -actinin-Binding,30.70; 30.70;,ADIP,152,,Coiled-coil
PF15202.5,,Adipogenin,27.00; 27.00;,Adipogenin,79,,Family
PF06377.10,,Adipokinetic hormone,22.90; 22.90;,Adipokin_hormo,48,,Family
PF00406.21,CL0023,Adenylate kinase,26.80; 26.80;,ADK,151,ADK_lid,Domain
PF05191.13,,"Adenylate kinase, active site lid",24.00; 24.00;,ADK_lid,36,,Domain
PF05221.16,CL0325,S-adenosyl-L-homocysteine hydrolase,25.00; 25.00;,AdoHcyase,295,AdoHcyase_NAD,Domain
PF00670.20,CL0063,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",21.70; 21.70;,AdoHcyase_NAD,162,,Domain
PF08132.10,,S-adenosyl-l-methionine decarboxylase leader peptide,25.00; 25.00;,AdoMetDC_leader,51,,Family
PF02675.14,,S-adenosylmethionine decarboxylase ,25.00; 25.00;,AdoMet_dc,106,,Family
PF07757.12,CL0063,Predicted AdoMet-dependent methyltransferase,20.20; 20.20;,AdoMet_MTase,112,,Family
PF01941.18,,S-adenosylmethionine synthetase (AdoMet synthetase),27.00; 27.00;,AdoMet_Synthase,396,,Family
PF03496.13,CL0084,ADP-ribosyltransferase exoenzyme,23.40; 21.90;,ADPrib_exo_Tox,197,,Family
PF04587.14,CL0118,ADP-specific Phosphofructokinase/Glucokinase conserved region,20.90; 20.90;,ADP_PFK_GK,425,,Family
PF03747.13,,ADP-ribosylglycohydrolase,26.20; 26.20;,ADP_ribosyl_GH,291,,Family
PF10397.8,,Adenylosuccinate lyase C-terminus,30.10; 30.10;,ADSL_C,73,,Domain
PF08509.10,,Adenylate cyclase G-alpha binding domain,20.10; 20.10;,Ad_cyc_g-alpha,48,,Domain
PF16701.4,,Adenylate cyclase regulatory domain,27.00; 27.00;,Ad_Cy_reg,186,,Domain
PF06355.12,CL0293,Aegerolysin,20.60; 20.60;,Aegerolysin,131,,Family
PF17049.4,,ATPase expression protein 1,27.00; 27.00;,AEP1,396,,Family
PF01117.19,CL0345,Aerolysin toxin,24.30; 24.30;,Aerolysin,365,,Domain
PF05110.12,,AF-4 proto-oncoprotein,29.90; 29.90;,AF-4,1227,,Family
PF14591.5,,AF0941-like,22.60; 22.60;,AF0941-like,113,,Domain
PF14556.5,,AF2331-like,150.00; 150.00;,AF2331-like,91,,Domain
PF05775.11,CL0204,Enterobacteria AfaD invasin protein,21.50; 21.50;,AfaD,105,,Family
PF15339.5,,Acrosome formation-associated factor,27.00; 27.00;,Afaf,198,,Family
PF03969.15,CL0023,AFG1-like ATPase,20.20; 20.20;,AFG1_ATPase,362,,Family
PF07792.11,CL0330,Docking domain of Afi1 for Arf3 in vesicle trafficking,25.50; 25.50;,Afi1,133,,Domain
PF08493.9,,Aflatoxin regulatory protein,20.80; 20.80;,AflR,287,,Family
PF01314.17,,"Aldehyde ferredoxin oxidoreductase, domains 2 & 3",19.90; 19.90;,AFOR_C,382,,Domain
PF02730.14,,"Aldehyde ferredoxin oxidoreductase, N-terminal domain",20.90; 20.90;,AFOR_N,198,,Domain
PF02420.14,,Insect antifreeze protein repeat,36.50; 2.00;,AFP,12,,Repeat
PF03756.12,CL0050,A-factor biosynthesis hotdog domain,21.30; 21.30;,AfsA,133,,Domain
PF08731.10,CL0274,Transcription factor AFT,21.60; 21.60;,AFT,111,,Family
PF11786.7,,Aft1 HRA domain,25.00; 25.00;,Aft1_HRA,79,,Domain
PF11787.7,,Aft1 HRR domain,25.00; 25.00;,Aft1_HRR,71,,Domain
PF11785.7,,Aft1 osmotic stress response (OSM) domain,21.60; 21.60;,Aft1_OSA,57,,Domain
PF12249.7,,Arabinofuranosyltransferase A C terminal,25.00; 25.00;,AftA_C,176,,Family
PF12250.7,,Arabinofuranosyltransferase N terminal,23.10; 23.10;,AftA_N,427,,Family
PF04671.11,,Erythrocyte membrane-associated giant protein antigen 332 ,20.70; 20.70;,Ag332,21,,Repeat
PF17366.1,,A-agglutinin-binding subunit Aga2,25.00; 25.00;,AGA2,58,,Family
PF05641.11,CL0049,Agenet domain,27.00; 19.00;,Agenet,61,,Domain
PF07468.10,CL0066,Agglutinin domain,25.00; 25.00;,Agglutinin,153,,Domain
PF17558.1,,Androgenic gland hormone,27.00; 27.00;,AGH,121,,Family
PF09171.9,,N-glycosylase/DNA lyase,22.50; 22.50;,AGOG,248,,Domain
PF05039.11,CL0083,Agouti protein,21.80; 21.80;,Agouti,91,,Family
PF10427.8,,Argonaute hook,21.00; 21.00;,Ago_hook,162,,Family
PF06376.11,,Arabinogalactan peptide,25.00; 25.00;,AGP,36,,Family
PF04647.14,,Accessory gene regulator B,23.00; 23.00;,AgrB,183,,Family
PF05931.10,,Staphylococcal AgrD protein,22.70; 22.70;,AgrD,45,,Family
PF04730.11,,Agrobacterium VirD5 protein,25.00; 25.00;,Agro_virD5,757,,Family
PF11440.7,CL0113,DNA alpha-glucosyltransferase,25.00; 25.00;,AGT,355,,Family
PF06396.10,,"Angiotensin II, type I receptor-associated protein (AGTRAP)",25.00; 25.00;,AGTRAP,148,,Family
PF09229.10,CL0648,"Activator of Hsp90 ATPase, N-terminal",22.50; 22.50;,Aha1_N,135,,Domain
PF14412.5,CL0263,A nuclease family of the HNH/ENDO VII superfamily with conserved AHH,19.70; 19.70;,AHH,114,,Family
PF17327.1,,Acyl homoserine lactone synthase,25.00; 25.00;,AHL_synthase,377,,Family
PF00578.20,CL0172,AhpC/TSA family,21.30; 21.30;,AhpC-TSA,124,,Domain
PF13911.5,CL0172,AhpC/TSA antioxidant enzyme,27.00; 27.00;,AhpC-TSA_2,113,,Domain
PF08327.10,CL0209,Activator of Hsp90 ATPase homolog 1-like protein,22.00; 22.00;,AHSA1,125,,Family
PF09236.9,,Alpha-haemoglobin stabilising protein,20.50; 20.50;,AHSP,87,,Domain
PF01594.15,,AI-2E family transporter,27.20; 27.20;,AI-2E_transport,327,,Family
PF15334.5,,Aurora kinase A and ninein interacting protein,27.00; 27.00;,AIB,324,,Family
PF01808.17,CL0109,AICARFT/IMPCHase bienzyme,25.00; 25.00;,AICARFT_IMPCHas,295,,Family
PF16168.4,,"Adhesin of bacterial autotransporter system, probable stalk ",27.00; 27.00;,AIDA,63,,Repeat
PF14186.5,CL0154,Cytoskeletal adhesion,25.00; 25.00;,Aida_C2,146,,Domain
PF08910.9,,Aida N-terminus,25.00; 25.00;,Aida_N,103,,Family
PF14962.5,,Mitochondria Localisation Sequence,27.90; 27.90;,AIF-MLS,192,,Family
PF14721.5,CL0608,"Apoptosis-inducing factor, mitochondrion-associated, C-term",25.90; 25.90;,AIF_C,131,,Domain
PF04548.15,CL0023,AIG1 family,27.00; 27.00;,AIG1,212,,Domain
PF13772.5,CL0278,AIG2-like family,27.00; 27.00;,AIG2_2,83,,Family
PF06316.10,CL0193,Enterobacterial Ail/Lom protein,20.80; 20.80;,Ail_Lom,199,,Family
PF10315.8,,Altered inheritance of mitochondria protein 19 ,28.30; 28.30;,Aim19,115,,Family
PF11489.7,,Altered inheritance of mitochondria protein 21 ,18.20; 18.20;,Aim21,725,,Family
PF01987.16,CL0029,Mitochondrial biogenesis AIM24,20.80; 20.80;,AIM24,202,,Family
PF17096.4,,Altered inheritance of mitochondria protein 3,25.40; 25.40;,AIM3,88,,Family
PF17050.4,,Altered inheritance of mitochondria 5,27.00; 27.00;,AIM5,76,,Family
PF16780.4,,AIMP2 lysyl-tRNA synthetase binding domain,27.00; 27.00;,AIMP2_LysRS_bd,47,,Domain
PF03915.12,,Actin interacting protein 3,28.20; 28.20;,AIP3,408,,Family
PF10592.8,,AIPR protein,25.00; 25.00;,AIPR,295,,Family
PF00731.19,,AIR carboxylase,29.30; 29.30;,AIRC,148,,Domain
PF00586.23,,"AIR synthase related protein, N-terminal domain",24.00; 14.90;,AIRS,94,,Domain
PF02769.21,,"AIR synthase related protein, C-terminal domain",23.10; 23.10;,AIRS_C,156,,Domain
PF15298.5,,AJAP1/PANP C-terminus,27.00; 27.00;,AJAP1_PANP_C,193,,Family
PF14469.5,,28 kDa A-kinase anchor ,21.60; 21.60;,AKAP28,121,,Family
PF15304.5,,A-kinase anchor protein 2 C-terminus,27.00; 27.00;,AKAP2_C,348,,Family
PF10469.8,CL0247,AKAP7 2'5' RNA ligase-like domain,24.40; 24.40;,AKAP7_NLS,207,,Domain
PF10470.8,,PKA-RI-RII subunit binding domain of A-kinase anchor protein,22.70; 22.70;,AKAP7_RIRII_bdg,58,,Domain
PF04988.11,,A-kinase anchoring protein 95 (AKAP95),25.60; 25.60;,AKAP95,164,,Family
PF05716.12,,A-kinase anchor protein 110 kDa (AKAP 110),25.00; 25.00;,AKAP_110,692,,Family
PF12443.7,,AT-hook-containing transcription factor,28.10; 28.10;,AKNA,99,,Family
PF00490.20,CL0036,Delta-aminolevulinic acid dehydratase,22.30; 22.30;,ALAD,317,,Domain
PF01262.20,CL0063,"Alanine dehydrogenase/PNT, C-terminal domain",23.00; 23.00;,AlaDh_PNT_C,214,,Domain
PF05222.14,CL0325,"Alanine dehydrogenase/PNT, N-terminal domain",29.50; 29.50;,AlaDh_PNT_N,136,,Domain
PF06610.12,,L-alanine exporter,25.00; 25.00;,AlaE,141,,Family
PF11839.7,CL0590,"Alanine-zipper, major outer membrane lipoprotein",23.00; 23.00;,Alanine_zipper,69,,Family
PF00842.20,,"Alanine racemase, C-terminal domain",25.00; 25.00;,Ala_racemase_C,124,,Domain
PF01168.19,CL0036,"Alanine racemase, N-terminal domain",22.40; 22.40;,Ala_racemase_N,219,,Domain
PF09135.10,,Alb1,20.40; 20.40;,Alb1,105,,Family
PF01918.20,CL0441,Alba,22.50; 22.50;,Alba,67,,Family
PF04326.13,CL0441,Putative DNA-binding domain,25.30; 25.30;,AlbA_2,122,,Domain
PF08027.10,CL0083,Albumin I chain b,20.20; 20.20;,Albumin_I,35,,Domain
PF16720.4,CL0083,Albumin I chain a,23.40; 23.40;,Albumin_I_a,48,,Domain
PF11606.7,CL0159,Family 31 carbohydrate binding protein,25.00; 25.00;,AlcCBM31,93,,Family
PF00171.21,CL0099,Aldehyde dehydrogenase family,23.00; 23.00;,Aldedh,462,,Family
PF01081.18,CL0036,KDPG and KHG aldolase,23.20; 23.20;,Aldolase,196,,Domain
PF00596.20,,Class II Aldolase and Adducin N-terminal domain,22.00; 22.00;,Aldolase_II,186,,Domain
PF01263.19,CL0103,Aldose 1-epimerase,21.80; 21.80;,Aldose_epim,301,,Family
PF00248.20,,Aldo/keto reductase family,21.00; 21.00;,Aldo_ket_red,292,,Domain
PF11266.7,CL0044,Long-chain fatty aldehyde decarbonylase ,21.60; 21.60;,Ald_deCOase,218,,Domain
PF01315.21,,"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain",20.60; 20.60;,Ald_Xan_dh_C,110,,Domain
PF02738.17,,Molybdopterin-binding domain of aldehyde dehydrogenase,21.50; 21.50;,Ald_Xan_dh_C2,543,,Domain
PF03752.12,,Short repeats of unknown function,25.40; 25.40;,ALF,42,,Repeat
PF12165.7,,Alfin ,21.00; 21.00;,Alfin,127,,Family
PF15924.4,CL0113,ALG11 mannosyltransferase N-terminus,24.50; 24.50;,ALG11_N,209,,Family
PF08660.10,CL0113,Oligosaccharide biosynthesis protein Alg14 like,20.90; 20.90;,Alg14,175,,Family
PF05208.12,CL0111,ALG3 protein,21.50; 21.50;,ALG3,351,,Family
PF03155.14,CL0111,"ALG6, ALG8 glycosyltransferase family",25.00; 25.00;,Alg6_Alg8,458,,Family
PF11182.7,,Alginate O-acetyl transferase AlgF ,29.40; 29.40;,AlgF,180,,Family
PF13372.5,CL0193,Alginate export ,25.20; 25.20;,Alginate_exp,397,,Domain
PF05426.11,CL0372,Alginate lyase,21.40; 21.40;,Alginate_lyase,272,,Domain
PF08787.10,CL0004,Alginate lyase,29.70; 29.70;,Alginate_lyase2,236,,Domain
PF16822.4,CL0264,"SGNH hydrolase-like domain, acetyltransferase AlgX",26.50; 26.50;,ALGX,268,,Domain
PF13949.5,,ALIX V-shaped domain binding to HIV ,29.80; 29.80;,ALIX_LYPXL_bnd,295,,Domain
PF06029.10,CL0407,AlkA N-terminal domain,26.00; 26.00;,AlkA_N,116,,Domain
PF14864.5,CL0311,Alkyl sulfatase C-terminal,27.00; 27.00;,Alkyl_sulf_C,126,,Domain
PF14863.5,CL0020,Alkyl sulfatase dimerisation,26.00; 26.00;,Alkyl_sulf_dimr,139,,Domain
PF00245.19,CL0088,Alkaline phosphatase,24.40; 24.40;,Alk_phosphatase,416,,Domain
PF03561.14,CL0202,Allantoicase repeat,21.60; 21.60;,Allantoicase,142,,Family
PF05953.11,CL0284,Allatostatin,33.50; 2.10;,Allatostatin,11,,Repeat
PF06351.10,CL0650,Allene oxide cyclase,31.20; 31.20;,Allene_ox_cyc,175,,Family
PF05549.10,,Allexivirus 40kDa protein,24.90; 24.90;,Allexi_40kDa,271,,Family
PF04864.12,CL0061,Allinase,22.00; 22.00;,Alliinase_C,363,,Domain
PF15309.5,,ALMS motif,27.00; 27.00;,ALMS_motif,136,,Family
PF11744.7,CL0307,Aluminium activated malate transporter,20.60; 20.60;,ALMT,469,,Family
PF04030.13,CL0277,"D-arabinono-1,4-lactone oxidase ",20.80; 20.80;,ALO,260,,Family
PF17527.1,,Phage ALP protein,25.00; 25.00;,ALP,167,,Family
PF06401.10,,"Alpha-2-macroglobulin RAP, C-terminal domain ",23.90; 23.90;,Alpha-2-MRAP_C,212,,Domain
PF06400.10,,"Alpha-2-macroglobulin RAP, N-terminal domain",27.30; 27.30;,Alpha-2-MRAP_N,118,,Domain
PF00128.23,CL0058,"Alpha amylase, catalytic domain",20.30; 20.30;,Alpha-amylase,337,,Domain
PF02806.17,CL0369,"Alpha amylase, C-terminal all-beta domain",21.20; 17.00;,Alpha-amylase_C,96,,Domain
PF02903.13,CL0159,"Alpha amylase, N-terminal ig-like domain",21.20; 21.20;,Alpha-amylase_N,120,,Domain
PF09071.9,CL0369,"Alpha-amylase, C terminal",20.80; 20.80;,Alpha-amyl_C,67,,Domain
PF07821.11,CL0369,Alpha-amylase C-terminal beta-sheet domain,20.10; 20.10;,Alpha-amyl_C2,58,,Domain
PF04168.11,,A predicted alpha-helical domain with a conserved ER motif.,20.80; 20.80;,Alpha-E,293,,Family
PF14456.5,,Alpha-helical domain 2,25.00; 25.00;,alpha-hel2,303,,Family
PF06964.11,CL0369,Alpha-L-arabinofuranosidase C-terminal domain,21.80; 21.80;,Alpha-L-AF_C,168,DUF1080,Domain
PF09261.10,CL0599,Alpha mannosidase middle domain,21.30; 21.30;,Alpha-mann_mid,80,,Domain
PF17480.1,,Alpha C protein C terminal,25.00; 25.00;,AlphaC_C,71,,Domain
PF08829.9,,Alpha C protein N terminal,25.00; 25.00;,AlphaC_N,106,,Domain
PF02883.19,CL0159,Adaptin C-terminal domain,25.50; 25.50;,Alpha_adaptinC2,111,,Domain
PF02296.15,CL0545,"Alpha adaptin AP2, C-terminal domain",25.40; 25.40;,Alpha_adaptin_C,113,,Family
PF01589.15,CL0543,Alphavirus E1 glycoprotein,25.00; 25.00;,Alpha_E1_glycop,504,,Family
PF00943.18,,Alphavirus E2 glycoprotein,19.50; 19.50;,Alpha_E2_glycop,403,,Family
PF01563.15,,Alphavirus E3 glycoprotein,25.00; 25.00;,Alpha_E3_glycop,59,,Family
PF03229.12,,Alphavirus glycoprotein J,21.00; 21.00;,Alpha_GJ,126,,Family
PF02816.17,CL0016,Alpha-kinase family,21.30; 21.30;,Alpha_kinase,179,,Family
PF01120.16,CL0058,Alpha-L-fucosidase,25.20; 25.20;,Alpha_L_fucos,332,,Domain
PF02232.14,,Alpha trans-inducing protein (Alpha-TIF) ,25.00; 25.00;,Alpha_TIF,343,,Family
PF09608.9,,Putative transmembrane protein (Alph_Pro_TM),24.50; 24.50;,Alph_Pro_TM,227,,Family
PF15729.4,,Amyotrophic lateral sclerosis 2 candidate 11,27.00; 27.00;,ALS2CR11,418,,Family
PF15299.5,,Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8,28.90; 28.90;,ALS2CR8,218,,Family
PF10369.8,CL0070,Small subunit of acetolactate synthase,23.20; 23.20;,ALS_ss_C,74,,Family
PF16541.4,,Alternaria alternata allergen 1,27.50; 27.50;,AltA1,110,,Domain
PF11092.7,,Neuronal protein 3.1 (p311),25.00; 25.00;,Alveol-reg_P311,67,,Family
PF02430.14,CL0168,Apical membrane antigen 1,21.00; 21.00;,AMA-1,467,,Family
PF07344.10,CL0375,Amastin surface glycoprotein,27.20; 27.20;,Amastin,155,,Family
PF03913.12,,Amb V Allergen,25.00; 25.00;,Amb_V_allergen,44,,Family
PF12475.7,,Amdovirus non-structural protein ,25.00; 25.00;,Amdo_NSP,48,,Family
PF05111.11,,Ameloblastin precursor (Amelin),25.00; 25.00;,Amelin,417,,Family
PF02948.14,,Amelogenin,22.10; 22.10;,Amelogenin,173,,Family
PF15757.4,,Amelotin,27.00; 27.00;,Amelotin,195,,Family
PF12190.7,CL0547,Fungal protease inhibitor,25.00; 25.00;,amfpi-1,91,,Family
PF04709.11,,"Anti-Mullerian hormone, N terminal region",20.00; 20.00;,AMH_N,386,,Family
PF01425.20,,Amidase,20.10; 20.10;,Amidase,451,,Family
PF12123.7,CL0089,N-acetylmuramoyl-l-alanine amidase,28.20; 28.20;,Amidase02_C,44,,Domain
PF01510.24,,N-acetylmuramoyl-L-alanine amidase,21.10; 21.10;,Amidase_2,126,,Domain
PF01520.17,CL0035,N-acetylmuramoyl-L-alanine amidase,21.10; 21.10;,Amidase_3,175,,Domain
PF05382.12,CL0125,Bacteriophage peptidoglycan hydrolase ,20.40; 20.40;,Amidase_5,142,,Family
PF12671.6,CL0125,Putative amidase domain,21.70; 21.70;,Amidase_6,166,,Domain
PF02274.16,CL0197,Amidinotransferase,22.00; 22.00;,Amidinotransf,340,,Family
PF01979.19,CL0034,Amidohydrolase family,21.60; 21.60;,Amidohydro_1,344,,Domain
PF04909.13,CL0034,Amidohydrolase,26.00; 26.00;,Amidohydro_2,291,,Domain
PF07969.10,CL0034,Amidohydrolase family,29.70; 29.70;,Amidohydro_3,473,,Domain
PF12224.7,CL0286,Putative amidoligase enzyme,21.40; 21.40;,Amidoligase_2,253,,Family
